Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C14, C30, C31, C39",C_0402,7,10uF,C15525
C11,C_0402,1,4.7uF,C23733
"C13, C15, C21, C23, C24, C25, C27, C29, C5, C7",0201,10,1uF,C53067
"C16, C17, C18, C19, C2, C20, C22, C28, C32, C33, C34, C36, C37, C8",0201,14,100nF,C18164586
C26,0201,1,10nF,C526939
"C3, C4",0402,2,10pF,C32949
C6,0201,1,0.47uF,C318543
C9,0201,1,2.2uF,C77762
D1,0603,1,LED_Small,C2286
J1,XUNPU_FPC-05F-24PH20_1x24-1MP_P0.5mm_Horizontal,1,Conn_01x24,C2856805
J2,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,U.FL Antenna Conn,C88373
J3,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,Conn_01x08,C160407
"L1, L6, L7",0603,3,L_Ferrite_Small,C85833
L2,L_0805,1,"2.2uH,1.2 A",C2049745
L5,0402,1,2nH 800mA,C3032791
Q1,SOT-23-6,1,FS8205A,C908265
R1,0805,1,10mΩ,C236283
"R10, R13, R14, R15, R16, R19, R20, R26, R27, R6, R7",0201,11,10kΩ,C473048
R11,0201,1,267kΩ,C423627
R12,0201,1,0Ω,C270337
R17,0201,1,22Ω,C270355
"R18, R9",R_0402,2,1kΩ,C11702
"R2, R5",0201,2,5.1kΩ,C270344
R21,0402,1,22kΩ,C25768
"R22, R23",0201,2,4.7kΩ,C25900
"R24, R25",0201,2,100kΩ,C25741
"R3, R4",0201,2,27Ω,C270320
R8,R_0402,1,100Ω,C25076
"U1, U10",X2SON-4-EP-1x1,2,TLV73328PDQNR,C2867701
"U11, U12, U13",SOT-363_SC-70-6,3,SN74LVC1T45DCK,C9382
U2,SOT-23-6,1,USBLC6-2SC6,C7519
U3,IC_BQ25180YBGR,1,BQ25180YBGR,C3682423
U4,TPS62840,1,TPS62840YBGR,C2071139
U5,Texas_S-PDSO-N12,1,BQ27441-G1,C473397
U6,SOT-23-6,1,DW01A,C42380662
U7,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,C190862
U8,ESP32-S3R8,1,ESP32-S3R8,C2913194
U9,X2SON-4-EP-1x1,1,TLV73315PDQNR,C2867302
X1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,"40MHz, 15pF",C424432
